mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex,speaker_3_ID,speaker_3_sex
5688-41232-0035_8051-119902-0023_196-122159-0009,5688.0,F,8051.0,F,196.0,M
3168-173564-0045_311-124404-0069_322-124147-0039,3168.0,M,311.0,M,322.0,F
19-227-0027_4640-19188-0036_8770-295465-0018,19.0,F,4640.0,F,8770.0,M
1737-142397-0019_3857-182315-0040_250-142276-0046,1737.0,F,3857.0,M,250.0,F
332-128985-0043_2391-145015-0074_7859-102518-0023,332.0,M,2391.0,F,7859.0,F
254-127705-0029_26-495-0027_163-122947-0055,254.0,M,26.0,M,163.0,M
1841-150351-0014_1723-141149-0006_4898-28461-0058,1841.0,F,1723.0,M,4898.0,M
3983-5331-0007_1578-140045-0011_39-121914-0019,3983.0,F,1578.0,F,39.0,F
911-128684-0073_696-92939-0004_5390-24512-0047,911.0,M,696.0,F,5390.0,M
2817-142371-0050_3436-172162-0031_7059-77900-0042,2817.0,F,3436.0,M,7059.0,F
6367-65536-0022_8419-293473-0008_307-127535-0023,6367.0,M,8419.0,M,307.0,M
1867-154075-0038_2196-170379-0017_254-27760-0017,1867.0,M,2196.0,F,254.0,M
118-47824-0082_405-130894-0030_374-180298-0010,118.0,M,405.0,M,374.0,M
909-131044-0021_1069-133709-0038_2893-139310-0018,909.0,M,1069.0,F,2893.0,M
1246-124550-0011_6181-216552-0020_7264-92316-0010,1246.0,F,6181.0,M,7264.0,M
1098-133695-0032_40-222-0037_4014-186175-0001,1098.0,F,40.0,F,4014.0,M
8797-294123-0089_307-127540-0002_7078-271888-0018,8797.0,M,307.0,M,7078.0,F
1447-130551-0004_374-180298-0003_4160-14187-0009,1447.0,F,374.0,M,4160.0,F
1363-135842-0010_2691-156750-0014_481-123720-0034,1363.0,F,2691.0,F,481.0,M
460-172359-0065_1040-133433-0016_7780-274562-0095,460.0,M,1040.0,M,7780.0,F
5808-54425-0007_5463-39174-0047_6563-63821-0044,5808.0,M,5463.0,M,6563.0,M
5652-39938-0037_2989-138028-0061_5192-19397-0024,5652.0,F,2989.0,F,5192.0,M
1553-140047-0051_669-129061-0041_6818-76332-0049,1553.0,F,669.0,F,6818.0,F
78-369-0016_1363-139304-0008_1263-139804-0008,78.0,M,1363.0,F,1263.0,F
302-123504-0012_103-1241-0018_4051-11218-0033,302.0,F,103.0,F,4051.0,F
3112-9555-0046_298-126791-0050_3240-131231-0031,3112.0,F,298.0,F,3240.0,M
3214-167606-0018_196-122152-0014_4406-16882-0041,3214.0,M,196.0,M,4406.0,M
426-122819-0014_307-127540-0024_374-180298-0062,426.0,F,307.0,M,374.0,M
8123-275193-0004_4051-11218-0014_6415-116629-0006,8123.0,F,4051.0,F,6415.0,F
2002-139469-0004_3259-158083-0033_5393-19219-0038,2002.0,M,3259.0,F,5393.0,F
32-4137-0028_4018-107312-0026_4481-17499-0009,32.0,F,4018.0,M,4481.0,F
2289-152257-0007_6019-3185-0088_87-121553-0105,2289.0,M,6019.0,M,87.0,F
8051-295385-0021_7635-105409-0049_4441-76263-0040,8051.0,F,7635.0,F,4441.0,M
7264-92316-0039_4195-186236-0001_481-123720-0052,7264.0,M,4195.0,F,481.0,M
3436-172171-0024_7178-34644-0011_6563-285357-0036,3436.0,M,7178.0,F,6563.0,M
8419-286676-0014_4340-15220-0072_254-127705-0023,8419.0,M,4340.0,F,254.0,M
7148-82991-0012_4397-15678-0015_2764-36619-0033,7148.0,F,4397.0,M,2764.0,F
163-122947-0061_302-123516-0012_587-54108-0018,163.0,M,302.0,F,587.0,F
6531-61334-0119_1963-142393-0011_78-369-0048,6531.0,F,1963.0,F,78.0,M
7511-102420-0046_2289-152253-0017_2007-149877-0059,7511.0,F,2289.0,M,2007.0,F
200-126784-0012_5163-39921-0016_8975-270782-0087,200.0,F,5163.0,F,8975.0,F
