mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex,speaker_3_ID,speaker_3_sex,speaker_4_ID,speaker_4_sex
1748-1560-0014_3521-7591-0041_5239-32139-0019_6446-40571-0033,1748.0,M,3521.0,M,5239.0,M,6446.0,M
1322-137589-0027_3654-171137-0009_882-123267-0020_4438-48525-0022,1322.0,M,3654.0,M,882.0,F,4438.0,M
1050-134119-0031_5333-5083-0026_1806-143948-0037_1079-128636-0001,1050.0,F,5333.0,M,1806.0,M,1079.0,F
7777-106367-0023_4111-184447-0060_2598-4654-0012_2194-141235-0042,7777.0,M,4111.0,F,2598.0,F,2194.0,F
8138-293531-0026_6054-41614-0000_3001-160952-0026_764-132280-0015,8138.0,M,6054.0,F,3001.0,F,764.0,M
6683-63839-0034_1054-143005-0025_2285-163381-0026_7145-87280-0020,6683.0,F,1054.0,F,2285.0,M,7145.0,F
1513-140222-0066_7959-109176-0049_5731-50778-0000_5583-38026-0046,1513.0,M,7959.0,F,5731.0,F,5583.0,F
7117-86710-0030_8722-296473-0071_820-123135-0007_6037-59239-0004,7117.0,F,8722.0,F,820.0,M,6037.0,M
459-127521-0016_2582-155973-0006_258-130878-0057_6690-73073-0020,459.0,M,2582.0,F,258.0,M,6690.0,M
7540-101799-0025_4846-18524-0054_5115-26947-0001_335-125951-0015,7540.0,M,4846.0,F,5115.0,F,335.0,M
5186-7793-0031_7297-92812-0018_4116-13265-0017_711-187464-0043,5186.0,M,7297.0,F,4116.0,F,711.0,M
8725-294554-0016_8527-281132-0024_479-134717-0040_3584-74477-0018,8725.0,M,8527.0,M,479.0,F,3584.0,F
3733-140718-0071_3187-168500-0006_6104-58845-0015_3972-170212-0044,3733.0,F,3187.0,M,6104.0,F,3972.0,F
2517-135227-0018_1283-136983-0014_1349-135891-0033_3114-170976-0053,2517.0,M,1283.0,M,1349.0,M,3114.0,M
8138-287657-0036_7957-39967-0085_6694-70837-0095_8791-291101-0045,8138.0,M,7957.0,M,6694.0,M,8791.0,M
