mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex
198-126831-0006_1040-133433-0072,198.0,F,1040.0,M
587-54108-0001_481-123720-0077,587.0,F,481.0,M
669-129061-0072_6147-34606-0020,669.0,F,6147.0,F
1034-121119-0000_2514-149482-0013,1034.0,M,2514.0,M
1363-139304-0032_8609-283227-0062,1363.0,F,8609.0,M
1963-142393-0048_1183-133255-0007,1963.0,F,1183.0,F
39-121914-0045_5789-70653-0026,39.0,F,5789.0,F
3982-182255-0027_5688-41232-0012,3982.0,F,5688.0,F
7517-100437-0030_6818-76332-0048,7517.0,F,6818.0,F
1363-139304-0044_163-122947-0081,1363.0,F,163.0,M
4267-72637-0010_2416-152139-0051,4267.0,M,2416.0,F
2136-5147-0019_4640-19189-0020,2136.0,M,4640.0,F
5390-24512-0001_1963-142393-0005,5390.0,M,1963.0,F
125-121124-0006_8324-286682-0039,125.0,F,8324.0,F
7505-258964-0023_1098-133695-0048,7505.0,M,1098.0,F
1081-125237-0031_6818-76332-0031,1081.0,M,6818.0,F
1578-140049-0023_5703-47212-0020,1578.0,F,5703.0,M
125-121342-0036_5022-29405-0014,125.0,F,5022.0,F
248-130652-0015_5688-41232-0013,248.0,F,5688.0,F
2518-154825-0002_669-129074-0026,2518.0,M,669.0,F
3830-12530-0023_89-219-0064,3830.0,M,89.0,F
1502-122615-0021_233-134440-0034,1502.0,F,233.0,M
6181-216552-0033_403-216-0006,6181.0,M,403.0,F
5339-14134-0044_4788-294466-0002,5339.0,F,4788.0,M
6848-252323-0020_4830-25904-0045,6848.0,M,4830.0,M
60-121082-0019_3235-28433-0011,60.0,M,3235.0,F
2989-138035-0052_5778-54535-0027,2989.0,F,5778.0,F
6272-70171-0025_4195-186238-0002,6272.0,F,4195.0,F
1040-133433-0002_4680-16026-0008,1040.0,M,4680.0,F
3607-135982-0031_7067-76047-0018,3607.0,M,7067.0,M
4137-11702-0034_6848-76049-0025,4137.0,F,6848.0,M
3112-9555-0053_4137-11702-0006,3112.0,F,4137.0,F
4788-91208-0032_5022-29405-0015,4788.0,M,5022.0,F
2836-5355-0010_4214-7146-0032,2836.0,F,4214.0,F
2289-152253-0009_7794-295947-0000,2289.0,M,7794.0,F
7635-105661-0027_19-198-0034,7635.0,F,19.0,F
2843-152918-0027_2136-5143-0017,2843.0,M,2136.0,M
1594-135914-0049_4640-19187-0035,1594.0,M,4640.0,F
150-132655-0015_1116-137572-0030,150.0,F,1116.0,F
5390-24512-0040_1183-128659-0019,5390.0,M,1183.0,F
103-1241-0022_5808-54425-0014,103.0,F,5808.0,M
118-47824-0018_4813-248641-0049,118.0,M,4813.0,M
27-123349-0014_5789-70653-0000,27.0,M,5789.0,F
3214-167606-0014_8095-274346-0054,3214.0,M,8095.0,M
2436-2481-0036_426-122822-0019,2436.0,M,426.0,F
3374-298026-0015_8630-305212-0008,3374.0,M,8630.0,M
1867-154075-0037_6147-34606-0004,1867.0,M,6147.0,F
250-140277-0004_403-128339-0015,250.0,F,403.0,F
5339-14133-0028_426-122822-0006,5339.0,F,426.0,F
4267-287369-0019_4160-11550-0039,4267.0,M,4160.0,F
5808-54425-0040_8324-286682-0032,5808.0,M,8324.0,F
8747-293952-0094_839-130898-0076,8747.0,M,839.0,M
3242-8112-0016_40-121026-0019,3242.0,M,40.0,F
3982-178459-0025_4898-28461-0026,3982.0,F,4898.0,M
26-495-0036_1553-140048-0031,26.0,M,1553.0,F
4018-103416-0028_8051-118101-0000,4018.0,M,8051.0,F
198-129977-0029_4397-15678-0030,198.0,F,4397.0,M
8324-286682-0002_1502-122615-0006,8324.0,F,1502.0,F
3879-174923-0039_4441-76250-0010,3879.0,F,4441.0,M
4340-15220-0038_3699-175950-0017,4340.0,F,3699.0,M
118-47824-0015_1743-142914-0000,118.0,M,1743.0,M
831-130746-0028_1898-145720-0001,831.0,M,1898.0,F
118-121721-0009_5322-7678-0009,118.0,M,5322.0,M
446-123502-0007_5778-54535-0001,446.0,M,5778.0,F
3214-167606-0029_2002-139469-0063,3214.0,M,2002.0,M
2391-145015-0074_6019-3185-0037,2391.0,F,6019.0,M
3607-135982-0006_7794-295948-0008,3607.0,M,7794.0,F
2436-2477-0030_730-358-0009,2436.0,M,730.0,F
7505-258964-0049_2518-154826-0026,7505.0,M,2518.0,M
32-4137-0055_6272-70171-0040,32.0,F,6272.0,F
1926-147979-0009_4088-158077-0004,1926.0,F,4088.0,F
2416-152139-0036_7800-283478-0027,2416.0,F,7800.0,F
7302-86814-0039_118-47824-0063,7302.0,F,118.0,M
5678-43303-0017_200-126784-0007,5678.0,M,200.0,F
2952-410-0004_83-9960-0048,2952.0,M,83.0,F
311-124404-0070_374-180298-0037,311.0,M,374.0,M
5703-47198-0028_307-127540-0008,5703.0,M,307.0,M
2182-181183-0026_2289-152253-0013,2182.0,F,2289.0,M
7800-283492-0008_198-126831-0023,7800.0,F,198.0,F
3112-9555-0032_3807-4955-0014,3112.0,F,3807.0,M
6367-65536-0066_2007-132570-0028,6367.0,M,2007.0,F
8629-261139-0028_6531-61334-0051,8629.0,M,6531.0,F
