mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex
2911-12359-0025_696-92939-0002,2911.0,M,696.0,F
8063-274112-0024_4014-186179-0023,8063.0,M,4014.0,M
1502-122619-0064_2196-174172-0011,1502.0,F,2196.0,F
4340-15220-0084_7264-92310-0008,4340.0,F,7264.0,M
2691-156745-0032_289-121652-0023,2691.0,F,289.0,F
229-130880-0011_403-128339-0034,229.0,M,403.0,F
2691-156745-0028_441-128988-0034,2691.0,F,441.0,F
2691-156755-0018_4088-158077-0032,2691.0,F,4088.0,F
2182-150130-0006_26-496-0000,2182.0,F,26.0,M
7402-90848-0034_6064-56165-0035,7402.0,M,6064.0,F
1116-137572-0006_6147-34607-0008,1116.0,F,6147.0,F
8063-274112-0023_4018-107338-0023,8063.0,M,4018.0,M
8063-274115-0004_6081-42010-0023,8063.0,M,6081.0,M
248-130644-0014_5808-48608-0031,248.0,F,5808.0,M
7511-102419-0005_3983-5331-0000,7511.0,F,3983.0,F
1841-150351-0011_8609-283227-0047,1841.0,F,8609.0,M
7794-295948-0025_1069-133709-0049,7794.0,F,1069.0,F
403-126855-0028_125-121342-0041,403.0,F,125.0,F
7517-100442-0021_730-359-0026,7517.0,F,730.0,F
1455-134435-0008_3857-180923-0014,1455.0,M,3857.0,M
2843-152918-0008_4137-11702-0009,2843.0,M,4137.0,F
7148-7763-0003_3982-178459-0013,7148.0,F,3982.0,F
2989-138028-0030_125-121124-0054,2989.0,F,125.0,F
2289-152258-0031_460-172359-0045,2289.0,M,460.0,M
4813-248641-0020_2182-181173-0025,4813.0,M,2182.0,F
8609-262281-0000_298-126791-0048,8609.0,M,298.0,F
226-122538-0011_1737-142397-0039,226.0,F,1737.0,F
6476-57446-0058_8123-275209-0012,6476.0,F,8123.0,F
289-121665-0005_5561-41616-0024,289.0,F,5561.0,F
4297-13009-0049_4813-248641-0045,4297.0,F,4813.0,M
233-155990-0026_1034-121119-0037,233.0,M,1034.0,M
7302-86814-0043_2196-174172-0034,7302.0,F,2196.0,F
911-128684-0044_198-126831-0019,911.0,M,198.0,F
8238-283452-0046_4406-16882-0051,8238.0,F,4406.0,M
1334-135589-0066_6147-34606-0021,1334.0,M,6147.0,F
3983-5331-0013_5322-7679-0002,3983.0,F,5322.0,M
7264-92316-0021_5678-43302-0000,7264.0,M,5678.0,M
4137-11702-0060_8630-305213-0038,4137.0,F,8630.0,M
7367-86737-0030_7078-271888-0086,7367.0,M,7078.0,F
7190-90542-0041_5339-14134-0002,7190.0,M,5339.0,F
8312-279791-0015_7635-105661-0034,8312.0,F,7635.0,F
4680-16026-0036_3242-8112-0033,4680.0,F,3242.0,M
2514-149482-0099_1743-142914-0006,2514.0,M,1743.0,M
229-130880-0079_1447-130551-0015,229.0,M,1447.0,F
460-172359-0066_7302-86814-0014,460.0,M,7302.0,F
2384-152900-0049_2691-156745-0016,2384.0,M,2691.0,F
78-368-0040_6147-34606-0022,78.0,M,6147.0,F
39-121916-0013_6529-62554-0050,39.0,F,6529.0,M
3214-167607-0001_2514-149482-0028,3214.0,M,2514.0,M
3807-4955-0007_5390-24512-0043,3807.0,M,5390.0,M
163-122947-0072_7078-271888-0076,163.0,M,7078.0,F
7264-92316-0010_4680-16042-0031,7264.0,M,4680.0,F
3982-182255-0037_8014-112586-0013,3982.0,F,8014.0,F
5322-7678-0032_3486-166424-0054,5322.0,M,3486.0,M
8630-305212-0009_198-209-0026,8630.0,M,198.0,F
3440-171009-0008_5703-47198-0057,3440.0,F,5703.0,M
2391-145015-0026_4640-19189-0038,2391.0,F,4640.0,F
1183-133256-0003_8770-295463-0001,1183.0,F,8770.0,M
1455-134435-0072_6415-100596-0029,1455.0,M,6415.0,F
7635-105409-0040_89-219-0026,7635.0,F,89.0,F
5750-35690-0031_2989-138035-0020,5750.0,M,2989.0,F
2836-5355-0032_1116-132851-0026,2836.0,F,1116.0,F
7367-86737-0096_1737-142396-0000,7367.0,M,1737.0,F
6147-34607-0035_1553-140047-0029,6147.0,F,1553.0,F
7226-86965-0022_5750-35690-0002,7226.0,M,5750.0,M
458-126294-0005_78-368-0008,458.0,M,78.0,M
5163-18515-0024_1841-150351-0032,5163.0,F,1841.0,F
7517-100437-0009_19-198-0013,7517.0,F,19.0,F
200-126784-0005_1263-141777-0000,200.0,F,1263.0,F
3699-19401-0007_2007-149877-0018,3699.0,M,2007.0,F
1455-134435-0061_6529-62554-0019,1455.0,M,6529.0,M
6078-54007-0022_3440-171009-0049,6078.0,F,3440.0,F
