mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex
2159-179157-0006_4788-294466-0015,2159.0,M,4788.0,M
1502-122619-0017_2159-179154-0010,1502.0,F,2159.0,M
4481-17499-0021_1081-125237-0079,4481.0,F,1081.0,M
311-124404-0038_150-132655-0030,311.0,M,150.0,F
32-21631-0008_2989-138035-0006,32.0,F,2989.0,F
1926-147987-0007_6078-54013-0045,1926.0,F,6078.0,F
2436-2477-0004_6081-42010-0013,2436.0,M,6081.0,M
7148-59157-0003_4481-17498-0028,7148.0,F,4481.0,F
6272-70171-0017_7800-283492-0030,6272.0,F,7800.0,F
3486-166446-0041_1737-148989-0002,3486.0,M,1737.0,F
3240-131231-0001_39-121915-0002,3240.0,M,39.0,F
4195-186236-0016_8629-261139-0010,4195.0,F,8629.0,M
4788-94904-0025_8425-287387-0022,4788.0,M,8425.0,M
5867-48852-0020_1502-122619-0086,5867.0,F,1502.0,F
1594-135914-0044_5049-25947-0033,1594.0,M,5049.0,M
2391-145015-0014_2911-12359-0007,2391.0,F,2911.0,M
1235-135884-0014_198-129977-0024,1235.0,M,198.0,F
27-124992-0055_8123-275209-0016,27.0,M,8123.0,F
3526-176653-0002_6081-42010-0016,3526.0,F,6081.0,M
3242-67168-0037_2817-142371-0073,3242.0,M,2817.0,F
3983-5331-0005_6064-56165-0003,3983.0,F,6064.0,F
4441-76263-0005_1867-154071-0038,4441.0,M,1867.0,M
1447-130550-0007_254-127705-0009,1447.0,F,254.0,M
4014-186179-0039_1926-143879-0002,4014.0,M,1926.0,F
7367-86737-0046_1898-145724-0031,7367.0,M,1898.0,F
7178-34644-0060_2952-407-0020,7178.0,F,2952.0,M
7226-86964-0019_5789-70653-0027,7226.0,M,5789.0,F
6385-34669-0003_2843-152918-0108,6385.0,F,2843.0,M
4214-7146-0060_83-11691-0015,4214.0,F,83.0,F
2136-5140-0037_5652-39938-0048,2136.0,M,5652.0,F
6529-62556-0011_3214-167602-0005,6529.0,M,3214.0,M
730-359-0032_1455-134435-0062,730.0,F,1455.0,M
1970-28415-0001_2843-152918-0020,1970.0,F,2843.0,M
5703-47212-0038_5192-19397-0056,5703.0,M,5192.0,M
5192-19397-0063_4640-19187-0026,5192.0,M,4640.0,F
2817-142371-0055_3947-13260-0016,2817.0,F,3947.0,F
909-131045-0041_374-180298-0024,909.0,M,374.0,M
3857-182315-0002_2817-142371-0010,3857.0,M,2817.0,F
426-122821-0027_3486-166424-0060,426.0,F,3486.0,M
7800-283493-0015_669-129061-0018,7800.0,F,669.0,F
2002-139469-0031_7794-295948-0002,2002.0,M,7794.0,F
3168-173565-0029_6848-252323-0024,3168.0,M,6848.0,M
7264-92316-0029_6209-34599-0010,7264.0,M,6209.0,M
2518-154825-0055_7190-90542-0025,2518.0,M,7190.0,M
8088-284756-0060_7312-92432-0011,8088.0,M,7312.0,M
7517-100437-0021_6476-57446-0046,7517.0,F,6476.0,F
7635-105409-0035_887-123290-0025,7635.0,F,887.0,F
8465-246942-0020_6078-54007-0006,8465.0,F,6078.0,F
8425-246962-0029_446-123502-0008,8425.0,M,446.0,M
3440-171009-0003_426-122821-0010,3440.0,F,426.0,F
6209-34599-0038_7278-91083-0017,6209.0,M,7278.0,M
60-121082-0009_7190-90542-0039,60.0,M,7190.0,M
2136-5140-0023_322-124147-0000,2136.0,M,322.0,F
5703-47212-0012_26-496-0023,5703.0,M,26.0,M
5339-14133-0037_3240-131231-0030,5339.0,F,3240.0,M
3857-182317-0004_3607-135982-0008,3857.0,M,3607.0,M
7067-76047-0041_1334-135589-0001,7067.0,M,1334.0,M
8770-295465-0006_7067-76047-0014,8770.0,M,7067.0,M
3440-171009-0062_2952-410-0052,3440.0,F,2952.0,M
248-130697-0021_5022-29411-0038,248.0,F,5022.0,F
8838-298545-0001_78-369-0048,8838.0,M,78.0,M
233-155990-0024_5322-7680-0029,233.0,M,5322.0,M
1263-138246-0032_6064-300880-0008,1263.0,F,6064.0,F
6529-62554-0014_39-121914-0019,6529.0,M,39.0,F
441-130108-0010_302-123504-0022,441.0,F,302.0,F
1926-143879-0025_7190-90543-0025,1926.0,F,7190.0,M
7635-105661-0009_4640-19189-0030,7635.0,F,4640.0,F
7178-34644-0046_1069-133699-0044,7178.0,F,1069.0,F
307-127535-0008_311-124404-0063,307.0,M,311.0,M
1116-132847-0036_839-130898-0022,1116.0,F,839.0,M
3857-180923-0008_8088-284756-0089,3857.0,M,8088.0,M
2910-131096-0001_7190-90543-0039,2910.0,F,7190.0,M
7067-76048-0054_5778-12761-0012,7067.0,M,5778.0,F
1235-135884-0035_6147-34605-0008,1235.0,M,6147.0,F
6081-41997-0003_8419-293473-0011,6081.0,M,8419.0,M
1088-134315-0053_696-93314-0007,1088.0,F,696.0,F
1246-135815-0001_8226-274371-0010,1246.0,F,8226.0,M
7178-34645-0001_1034-121119-0012,7178.0,F,1034.0,M
7264-92316-0033_150-126112-0016,7264.0,M,150.0,F
1553-140047-0009_3607-135982-0033,1553.0,F,3607.0,M
2989-138028-0026_6385-220959-0029,2989.0,F,6385.0,F
2989-138028-0006_248-130644-0016,2989.0,F,248.0,F
1447-17506-0010_2196-170379-0032,1447.0,F,2196.0,F
78-368-0005_6385-220959-0015,78.0,M,6385.0,F
5808-48608-0047_198-126831-0047,5808.0,M,198.0,F
1723-141149-0034_6848-76049-0028,1723.0,M,6848.0,M
3436-172162-0040_6437-66173-0031,3436.0,M,6437.0,M
7635-105661-0042_87-121553-0096,7635.0,F,87.0,F
1355-39947-0023_254-127705-0041,1355.0,M,254.0,M
6531-61334-0045_7794-295955-0020,6531.0,F,7794.0,F
328-129766-0012_4898-20016-0006,328.0,F,4898.0,M
5390-24512-0041_307-127540-0009,5390.0,M,307.0,M
1502-122619-0088_7067-76048-0021,1502.0,F,7067.0,M
426-122819-0014_8630-305213-0043,426.0,F,8630.0,M
40-222-0062_3259-158083-0028,40.0,F,3259.0,F
3240-131232-0010_887-123291-0019,3240.0,M,887.0,F
4297-13006-0015_5703-47212-0005,4297.0,F,5703.0,M
2911-12359-0009_163-122947-0023,2911.0,M,163.0,M
118-47824-0062_8975-270782-0049,118.0,M,8975.0,F
6019-3185-0081_2289-152257-0021,6019.0,M,2289.0,M
7859-102519-0016_2691-156745-0034,7859.0,F,2691.0,F
3830-12531-0009_5049-25947-0071,3830.0,M,5049.0,M
8580-287363-0012_1841-150351-0013,8580.0,M,1841.0,F
4362-15663-0054_311-124404-0118,4362.0,F,311.0,M
3168-173565-0044_3440-171006-0015,3168.0,M,3440.0,F
7635-105409-0036_2289-152258-0002,7635.0,F,2289.0,M
32-21634-0010_4853-27671-0028,32.0,F,4853.0,F
6209-34599-0019_909-131044-0033,6209.0,M,909.0,M
302-123516-0033_8629-261140-0005,302.0,F,8629.0,M
8797-294123-0005_3879-174923-0062,8797.0,M,3879.0,F
4680-16041-0015_5022-29411-0016,4680.0,F,5022.0,F
1553-140048-0028_6367-65536-0047,1553.0,F,6367.0,M
2196-170151-0003_7264-92316-0040,2196.0,F,7264.0,M
3830-12535-0007_8098-278252-0037,3830.0,M,8098.0,M
1553-140047-0024_5678-43303-0012,1553.0,F,5678.0,M
4788-94904-0018_2391-145015-0114,4788.0,M,2391.0,F
8425-291444-0014_3214-167602-0033,8425.0,M,3214.0,M
