speaker_ID,sex,subset,length,origin_path
8975,F,train-clean-100,48000,train-clean-100/8975/270782/8975-270782-0029.flac
200,F,train-clean-100,48000,train-clean-100/200/124140/200-124140-0012.flac
27,M,train-clean-100,48000,train-clean-100/27/124992/27-124992-0034.flac
4680,F,train-clean-100,48080,train-clean-100/4680/16042/4680-16042-0027.flac
2989,F,train-clean-100,48080,train-clean-100/2989/138028/2989-138028-0051.flac
4441,M,train-clean-100,48160,train-clean-100/4441/76263/4441-76263-0032.flac
3259,F,train-clean-100,48160,train-clean-100/3259/158083/3259-158083-0099.flac
730,F,train-clean-100,48160,train-clean-100/730/359/730-359-0046.flac
3240,M,train-clean-100,48160,train-clean-100/3240/131231/3240-131231-0007.flac
1098,F,train-clean-100,48160,train-clean-100/1098/133695/1098-133695-0015.flac
2989,F,train-clean-100,48240,train-clean-100/2989/138035/2989-138035-0012.flac
481,M,train-clean-100,48240,train-clean-100/481/123720/481-123720-0083.flac
103,F,train-clean-100,48400,train-clean-100/103/1241/103-1241-0019.flac
730,F,train-clean-100,48400,train-clean-100/730/359/730-359-0028.flac
6925,M,train-clean-100,48400,train-clean-100/6925/80680/6925-80680-0025.flac
2007,F,train-clean-100,48400,train-clean-100/2007/149877/2007-149877-0060.flac
1183,F,train-clean-100,48480,train-clean-100/1183/128659/1183-128659-0014.flac
458,M,train-clean-100,48560,train-clean-100/458/126305/458-126305-0019.flac
8088,M,train-clean-100,48560,train-clean-100/8088/284756/8088-284756-0037.flac
8014,F,train-clean-100,48560,train-clean-100/8014/112602/8014-112602-0025.flac
2289,M,train-clean-100,48640,train-clean-100/2289/152258/2289-152258-0010.flac
4397,M,train-clean-100,48720,train-clean-100/4397/15678/4397-15678-0030.flac
2436,M,train-clean-100,48720,train-clean-100/2436/2481/2436-2481-0018.flac
5390,M,train-clean-100,48720,train-clean-100/5390/30096/5390-30096-0033.flac
200,F,train-clean-100,48720,train-clean-100/200/124139/200-124139-0020.flac
118,M,train-clean-100,48720,train-clean-100/118/47824/118-47824-0015.flac
8747,M,train-clean-100,48800,train-clean-100/8747/293952/8747-293952-0018.flac
5514,F,train-clean-100,48800,train-clean-100/5514/19192/5514-19192-0039.flac
8975,F,train-clean-100,48800,train-clean-100/8975/270782/8975-270782-0114.flac
2836,F,train-clean-100,48880,train-clean-100/2836/5354/2836-5354-0041.flac
5456,M,train-clean-100,48960,train-clean-100/5456/24741/5456-24741-0007.flac
5750,M,train-clean-100,49040,train-clean-100/5750/35690/5750-35690-0026.flac
3242,M,train-clean-100,49040,train-clean-100/3242/8112/3242-8112-0024.flac
5339,F,train-clean-100,49040,train-clean-100/5339/14134/5339-14134-0051.flac
1624,M,train-clean-100,49120,train-clean-100/1624/142933/1624-142933-0000.flac
7402,M,train-clean-100,49120,train-clean-100/7402/59171/7402-59171-0045.flac
7148,F,train-clean-100,49120,train-clean-100/7148/7763/7148-7763-0019.flac
27,M,train-clean-100,49120,train-clean-100/27/124992/27-124992-0013.flac
7402,M,train-clean-100,49120,train-clean-100/7402/59171/7402-59171-0026.flac
4051,F,train-clean-100,49200,train-clean-100/4051/11218/4051-11218-0029.flac
458,M,train-clean-100,49200,train-clean-100/458/126294/458-126294-0001.flac
831,M,train-clean-100,49200,train-clean-100/831/130746/831-130746-0060.flac
1098,F,train-clean-100,49200,train-clean-100/1098/133695/1098-133695-0082.flac
6385,F,train-clean-100,49280,train-clean-100/6385/220959/6385-220959-0040.flac
1455,M,train-clean-100,49280,train-clean-100/1455/138263/1455-138263-0011.flac
201,M,train-clean-100,49360,train-clean-100/201/122255/201-122255-0044.flac
5514,F,train-clean-100,49440,train-clean-100/5514/19192/5514-19192-0043.flac
7113,F,train-clean-100,49440,train-clean-100/7113/86041/7113-86041-0042.flac
5808,M,train-clean-100,49440,train-clean-100/5808/54425/5808-54425-0049.flac
6181,M,train-clean-100,49440,train-clean-100/6181/216552/6181-216552-0081.flac
4340,F,train-clean-100,49520,train-clean-100/4340/15220/4340-15220-0097.flac
27,M,train-clean-100,49520,train-clean-100/27/124992/27-124992-0003.flac
1594,M,train-clean-100,49600,train-clean-100/1594/135914/1594-135914-0104.flac
5688,F,train-clean-100,49680,train-clean-100/5688/41232/5688-41232-0052.flac
2989,F,train-clean-100,49680,train-clean-100/2989/138028/2989-138028-0044.flac
32,F,train-clean-100,49680,train-clean-100/32/4137/32-4137-0031.flac
5561,F,train-clean-100,49680,train-clean-100/5561/39621/5561-39621-0010.flac
4898,M,train-clean-100,49760,train-clean-100/4898/28461/4898-28461-0056.flac
2989,F,train-clean-100,49840,train-clean-100/2989/138035/2989-138035-0019.flac
4340,F,train-clean-100,49840,train-clean-100/4340/15220/4340-15220-0085.flac
5192,M,train-clean-100,49840,train-clean-100/5192/19397/5192-19397-0059.flac
2136,M,train-clean-100,49840,train-clean-100/2136/5143/2136-5143-0029.flac
3436,M,train-clean-100,49840,train-clean-100/3436/172171/3436-172171-0062.flac
